,preco_1,preco_2,endereco_1,endereco_2,descricao,attr1,attr2,attr3,attr4,attr5
272,R$ 1.200,R$ 1.270/mês,Barão Geraldo,"Centro de Barão Geraldo - 
Kitnet mobiliada 1 andar, cozinha com semi-divisória para dormitório, geladeira 240 l Consul, fogão 4 bocas, mesa escamoteável cozinha, armários, guarda roupas, móvel para livros, cama solteiro sem colchão;
Todas as unidades com tanque e entrada de maquina de lavar roupas individual.
Incluso no valor água, IPTU, faxina semanal área comum, internet.
Vaga de garagem locado a parte, de acordo com disponibilidade (consulte valor)",Kitnet em Campinas,1quarto,1banheiro ,25m²,not found,not found
273,R$ 1.100,R$ 1.460/mês,Cidade Universitária,"Kitnet próximo da Av. 2 e a cerca de 600 m da Unicamp 

Kit sem divisória da cozinha para o dormitório
Cozinha mobiliada com geladeira, fogão, microondas, armário de cozinha,
Dormitório com cama, guarda-roupas e ventilador de teto
Banheiro com box de vidro
A poucos metros da Unicamp;

No valor do condomínio já está incluso para 01 morador: Água, luz, IPTU, internet (120 megas), jardineiro, limpeza externa, gás de cozinha, segurança monitoramento barão 24h.
Possui cerca elétrica, portão eletrônico e interfone.

Garagem: Cobrada a parte, conforme disponibilidade.",Kitnet em Campinas,1quarto,1banheiro ,1vaga,20m²,not found
274,R$ 1.350,R$ 1.670/mês,Jardim Santa Genebra II (Barão Geraldo),"Centro de Barão Geraldo - perto do Terminal/DAlben

Apartamento de 1 dormitório;
Sala de estar em estilo americano com cozinha;
Banheiro com box de vidro;
Lavanderia individual e externa;
1 vaga de garagem.;

Condomínio (rateio) valor variavel por mês, em média este valor, inclui despesas como IPTU, água, vigilância patrimonial, Internet, manutenção de áreas comuns;
Energia elétrica, gás: individuais.",Apartamento em Campinas,1quarto,1banheiro ,1vaga,28m²,not found
275,R$ 1.400,R$ 1.720/mês,Cidade Universitária,"Localizada a 200 metros da entrada do Ciclo Básico 02 (entrada do Restaurante Universitário) da Unicamp, este prédio tem 10 unidades no total. Conta com sala e cozinha em estilo americano (separadas por um balcão, cozinha com geladeira, fogão 4 bocas com forno, bancada sob a pia,  armário aéreo), banheiro com box de vidro, gabinete pia; dormitório com armário embutido. Todas as unidades com vaga de garagem descoberta (portão eletrônico, cerca elétrica).
O prédio conta com lavanderia comunitária com máquina.
Cobra-se rateio por mês para 1 morador, que incluí: energia elétrica, água, IPTU, internet cabeada. 
Pode-se morar no máximo em 2 pessoas, o que acrescenta o valor de rateio.
O gás não está incluído no valor da locação e/ou rateio. É individual, por conta do locatário.
Agende sua visita para conhecer esta opção!",Kitnet em Campinas,1quarto,1banheiro ,1vaga,28m²,not found
276,R$ 2.200.000,R$ 13.000/mês,Condomínio Residencial Barão do Café,"Condomínio Residencial Barão do Café - Barão Geraldo - Campinas - SP

Oportunidade de morar em um dos melhores condomínios da Região, ótima localização com segurança e infra estrutura.

Sobrado com 5 suítes, sendo 4 no andar superior (piso tacão de madeira), todos com armários, 1 suíte máster com hidromassagem e ar condicionado, uma suíte no andar térreo.
Piso inferior em porcelanato: Escritório; lavabo; sala de leitura, ampla sala com lareira a gás; cozinha planejada, rica em armários, mesa auxiliar em granito e pastilhas; despensa com prateleiras; lavanderia coberto com armários; 
Área Gourmet coberta, com portas de vidros, com vista do quintal, churrasqueira, banheiro, depósito com armários.
Quintal com jardim, piscina com jacuzzi e ducha, pergolado em madeira; árvores frutíferas ( Pitanga, Tangerina, Amora, Acerola)
Casa com sistema de aquecimento solar com boiler; Sistema de reuso de água de chuva com 1500 litros.

Para locação, Condomínio e IPTU estão inclusos no aluguel",Casa em Campinas,5quartos,5suítes,7banheiros,6vagas,"390,06m²"
277,R$ 700,R$ 935/mês,Vila Santa Isabel,"Próximo a Moradia Estudantil Unicamp

Kit com cozinha mobiliada com geladeira, fogão e armário;
Dormitório com guarda roupa e cama;
Banheiro com box e ármario;
Lavanderia de uso coletivo.

Rateio por mês inclui água, IPTU, internet.. MOrador adicional, 70% do rateio. 
Gás, botijão individual, por conta do locatário;",Kitnet em Campinas,1quarto,1banheiro ,15m²,not found,not found
278,R$ 1.000,R$ 1.245/mês,Vila Santa Isabel,"Kit Locação- Próximo Moradia Estudantil Unicamp
Cozinha mobiliada com Geladeira, Fogão e armário;
Dormitório com guarda roupa e cama sem colchão;
Banheiro com box;
Rateio / Condomínio: valor por mes, por pessoa, inclui: Internet, água, IPTU, manutenção de áreas comuns. 
Gás, botijão individual, por conta do locatário;",Kitnet em Campinas,1quarto,1banheiro ,1vaga,23m²,not found
279,R$ 1.200,R$ 1.470/mês,Vila Santa Isabel,"Kit Locação- Próximo Moradia Estudantil Unicamp

Kitnet mobiliada para locação com entre cozinha e quarto
Cozinha mobiliada com Geladeira, Fogão 4 bocas e armários
Quarto amplo, com guarda roupa e cama de solteiro (sem colchão).  Banheiro com box de vidro e armários.

Rateio/condomínio: inclui IPTU, água, manutenção de áreas comuns. 
Gás, botijão individual, por conta do locatário;",Kitnet em Campinas,1quarto,1banheiro ,31m²,not found,not found
280,R$ 1.350,R$ 1.520/mês,Cidade Universitária,"Kitnet 1º andar com divisória da cozinha para o dormitório, em frente Unicamp.
Cozinha com gabinete, geladeira, fogão, gabinete cozinha. Banheiro com box de vidro, gabinete pia de cozinha.
Dormitório preparado para ar-condicionado.


Condomínio / Rateio: valor por mês, por pessoa - inclui: gás; IPTU; vigilância patrimonial; água; faxina, jardinagem e manutenções de áreas externas.
Energia elétrica: medidor individual.
Vagas de garagem locado a parte, conforme disponibilidade.",Kitnet em Campinas,1quarto,1banheiro ,22m²,not found,not found
281,R$ 1.350,R$ 1.520/mês,Cidade Universitária,"Kitnet térrea com divisória da cozinha para o dormitório, em frente Unicamp.
Cozinha com gabinete, geladeira, fogão, gabinete cozinha. Banheiro com box de vidro, gabinete pia de cozinha.
Dormitório preparado para ar-condicionado.

Rateio (condomínio): valores por mês, por pessoa - inclui: gás; IPTU; vigilância patrimonial; água; faxina, jardinagem e manutenções de áreas externas.
Energia elétrica: medidor individual.
Vagas de garagem locado a parte, conforme disponibilidade.",Kitnet em Campinas,1quarto,1banheiro ,"21,50m²",not found,not found
282,R$ 1.350,R$ 1.520/mês,Cidade Universitária,"Cidade Universitária 01 - em frente a Unicamp - (Roxo Moreira) - kitnet mobiliada
Kitnet térrea com divisória da cozinha para o dormitório;
Cozinha com gabinete, geladeira, fogão, micro-ondas;
Banheiro com box de vidro, gabinete pia de cozinha, espelho;
Dormitório com ar-condicionado, guarda roupas, cama (cabem 2); TV 14 polegadas (antena digital - sinal aberto);

Rateio: valor por mês, por pessoa - inclui: gás; IPTU; vigilância patrimonial; água; faxina, jardinagem e manutenções de áreas externas.
Energia elétrica: medidor individual.
Vagas de garagem locado a parte, conforme disponibilidade.",Kitnet em Campinas,1quarto,1banheiro ,"26,39m²",not found,not found
283,R$ 750,R$ 985/mês,Cidade Universitária,"Cidade Universitária 02

Opção de suíte mobiliada com cozinha de uso comunitário equipada! 
Vaga de garagem locado a parte, conforme disponibilidade, R$ 70,00/mês;
Rateio de R$ 200,00 inclui IPTU, água, energia, manutenção de áreas comuns, internet.",Kitnet em Campinas,1quarto,1suíte,1banheiro ,20m²,not found
284,R$ 2.600,"R$ 2.963,75/mês",Barão Geraldo,"Casa com ótima localização no Centro de Barão Geraldo em frente a praça.
O imóvel possui 3 dormitórios, sala, cozinha e 1 banheiro.
Vaga para 3 carros  e no fundo mais uma vaga de garagem coberta.

Agende uma visita!",Casa em Campinas,3quartos,1banheiro ,5vagas,155m²,not found
285,R$ 1.150,R$ 1.470/mês,Cidade Universitária,"Cidade Universitária 01 - já bem perto do Centro de Barão Geraldo

Apartamento térreo com 32m², todo em piso frio. 
1 dormitório amplo, sala, cozinha com gabinete sob pia, banheiro com box de vidro, e pequena varanda individual com possibilidade de colocar máquina. 
Esta opção é sem mobilia. 
Rateio por mês em torno de R$ 250,00/mês/apto inclui: água, internet, IPTU, manutenção e conservação de áreas comuns. 
Energia elétrica e gás (botijão): individuais, por conta locatários;",Apartamento em Campinas,1quarto,1banheiro ,1vaga,32m²,not found
286,R$ 1.250,R$ 1.570/mês,Cidade Universitária,"Cidade Universitária 01 - em frente Unicamp
Apartamento de 1 dormitório, sala, cozinha, área de serviço,
banheiro social. Próximo a UNICAMP. Garagem para 01 carro.
Rateio/condominio: valor por mes, variavel, inclui agua, IPTU, jardinagem, manutenção de áreas coletivas do predio, seguro e internet;
1 vaga de garagem",Apartamento em Campinas,1quarto,1banheiro ,1vaga,28m²,not found
287,R$ 1.000,R$ 1.245/mês,Cidade Universitária,"Cidade Universitária 01
Kitnet mobiliada, estilo estúdio, com 31,50m², próxima ao Centro de Barão Geraldo.
Mobiliada com geladeira, fogão sem forno, cama solteiro sem colchão, mesa com cadeiras. 
Lavanderia de uso coletivo sem máquina
Valor de condomínio é mensal, por morador, inclui: internet, água, energia, IPTU e gás.",Kitnet em Campinas,1quarto,1banheiro ,"31,50m²",not found,not found
288,R$ 1.200,R$ 1.470/mês,Cidade Universitária,"Cidade Universitária 01
Kitnet mobiliada no Centro de Barão Geraldo, com geladeira, fogão, cama (sem colchão), mesa, cadeiras.
São 39m² de área util, com divisória do dormitório para cozinha/sala. 1  banheiro. 
Unidade de 1º andar - (tem 1 lance de escada para acesso). 
Próximo ao Mc Donald´s e Tilli Center

Condomínio por mês, por morador, inclui: IPTU, gás, energia elétrica, água e gás.",Kitnet em Campinas,1quarto,1banheiro ,39m²,not found,not found
289,R$ 5.500,R$ 6.155/mês,Cidade Universitária,"SOBRADO NOVO MUITO PERTO DA UNICAMP.

SÃO 4 DORMITÓRIOS (2 SUÍTES - 3 COM ARMÁRIOS EMBUTIDOS),
BANHEIROS COM BLINDEX, LAVABO, ESCRITÓRIO COM BANHEIRO, SALA 2 AMBIENTES, COZINHA COM ARMÁRIOS E DESPENSA, PORTÃO ELETRÔNICO, CERCA ELÉTRICA, VAGA PARA 6 AUTOS.
QUINTAL GRAMADO, CHURRASQUEIRA, ÁREA DE SERVIÇO COBERTA.",Casa em Campinas,5quartos,3suítes,4banheiros,6vagas,220m²
290,R$ 1.350,R$ 1.520/mês,Cidade Universitária,"Cidade Universitária 01 - Rua Dr. Roxo Moreira, 1150
Kitnet 1º andar com divisória da cozinha para o dormitório, em frente Unicamp.
Cozinha com gabinete, geladeira, fogão, micro-ondas, gabinete pia Banheiro com box de vidro, gabinete pia, espelho e ducha higiênica.
Dormitório com TV 22 polegadas, ar-condicionado, cama, guarda-roupas.
Rateio: valor por mes, por pessoa - inclui: gás; IPTU; vigilância patrimonial; água; faxina, jardinagem e manutenções de áreas externas.
Energia elétrica: medidor individual.
Vagas de garagem locado a parte, conforme disponibilidade.",Kitnet em Campinas,1quarto,1banheiro ,22m²,not found,not found
291,R$ 1.100,R$ 1.370/mês,Cidade Universitária,"Descrição
Kitnet localizada na Av. 02 - próximo do mercado Dia

Kitnet mobiliada com geladeira, fogão, mesa para refeição 
Dormitório com guarda roupas, cama (sem colchão)
Banheiro com box 

Condomínio inclui para 01 morador: Água, IPTU, Internet (cortesia), Limpeza e manutenção das Áreas Comuns.
Moradores adicionais, consultar valores",Kitnet em Campinas,1quarto,1banheiro ,25m²,not found,not found
292,R$ 5.700,"R$ 6.592,82/mês",Cidade Universitária,"Excelente casa para locação na Cidade Universitária 1, imóvel possui 8 dormitórios sendo 7 suítes, ( 3 suítes na parte externa da casa ), casa com mobília, 2 amplas salas, cozinha , despensa, lavanderia, rica em armários, vaga de garagem para vários veículos. 
Agende sua visita !!",Casa em Campinas,8quartos,7suítes,8banheiros,6vagas,300m²
293,R$ 1.000,R$ 1.605/mês,Barão Geraldo,"Sala comercial, 28m², ótima localização (avenida). Estacionamento no local. Condomínio inclui: água, energia, iptu, sistema de segurança, limpeza e jardinagem da área comum e limpeza interna diária.",Sala em Campinas,1vaga,28m²,not found,not found,not found
294,R$ 1.100,R$ 1.730/mês,Barão Geraldo,"Sala comercial, 28m², ótima localização (avenida). Estacionamento no local. Condomínio inclui: água, energia, iptu, sistema de segurança, limpeza e jardinagem da área comum e limpeza interna diária.",Sala em Campinas,1vaga,28m²,not found,not found,not found
295,R$ 5.100,"R$ 5.836,17/mês",Jardim Santa Genebra II (Barão Geraldo),"Santa Genebra 02

Opção de imóvel de uso misto - residencial e comercial - Z03 Hachurado BG. 
Imóvel com acesso universal, com recepção, sala de atividades ampla (onde era a garagem da casa, com 44m²), 4 salas amplas com 1 lavabo compõem um ambiente com alguma comunicação e integração entre eles. Até aqui tudo piso cerâmico. 
Corredor mais reservado com 3 suites com armários, 2 deles em piso vinilico.  Todos as salas com ventiladores de teto. 
Edícula com cozinha, lavabo e outra sala ampla, com piso vinílico. 
Quintal gramado.
Parte eletrica toda preparada para instalação de ares condicionados. 
Energia elétrica e água: individuiais
IPTU: por conta locatários.",Casa em Campinas,3quartos,3suítes,3banheiros,2vagas,"277,80m²"
296,R$ 4.200,"R$ 4.702,94/mês",Cidade Universitária,"CIdade Universitária 01
Casa térrea,   4   dormitórios   (2   suítes)  com  armários
embutidos,  sala  para  2  ambientes  (estar, tevê), cozinha
com armários   e   dispensa,   lavabo,  banheiros  com  box,
lavanderia coberta, churrasqueira,  vaga  para  4  autos.

Ampla varanda externa coberta!

** Visitas Agendadas **",Casa em Campinas,4quartos,2suítes,2banheiros,4vagas,"213,40m²"
297,R$ 990,R$ 1.185/mês,Cidade Universitária,"Cidade Universitária 02 - Próximo Centro Médico / Centro Boldrini

Kitnet mobiliada com divisória da cozinha para dormitório;
- com ventilador de teto, geladeira, fogão, exaustor, guarda roupa
Com banheiro 
Vaga de garagem;
Lavanderia individual.
A poucos metros da Entrada da ""Casa do Lago"" 
Rateio/condominio: cobrado mensalmente, inclui: água, IPTU, energia de áreas comuns, manutenções externas, internet wifi, 
Individual: energia elétrica e gás;
Vaga de garagem: conforme disponibilidade;",Kitnet em Campinas,1quarto,1banheiro ,22m²,not found,not found
298,R$ 2.000,R$ 2.252/mês,Vila Santa Isabel,"Salão comercial na Vila Santa Isabel! 
Oportunidade para comércio. 
Salão com 48 m² próximo à moradia dos estudantes. 
Ótima localização.
Agende sua visita.",Salão em Campinas,2banheiros,48m²,not found,not found,not found
299,R$ 2.600,"R$ 2.788,19/mês",Cidade Universitária,"Cidade Universitária 01 - 300 metros da Unicamp

Térrea com 3suítes com armários embutidos;
Banheiros com box de vidro;
Sala de estar:
Cozinha com gabinete;
Portão eletrônico e cerca elétrica;
Energia elétrica e água: individuais
IPTU: 50% do total;

(este imóvel divide terreno com outra opção de aluguel, CA0979, também disponível no momento).",Casa em Campinas,3quartos,3suítes,3banheiros,3vagas,120m²
300,R$ 3.500,"R$ 3.753,19/mês",Cidade Universitária,"Cidade Universitária 01

Casa com 4 suites com armários embutidos, banheiros com box de vidro, toda em piso frio. Cozinha e sala em estilo americano com a sala. Lavandeira externa e individual. 
02 vagas de garagem descobertas, com portao eletrônico. 

Este imóvel compartilha o terreno com outra opção de 03 suites (ca0979 - também disponivel no momento).",Casa em Campinas,4quartos,4suítes,4banheiros,2vagas,160m²
